LECROYWR6200A,18548,Waveform
Segments,1,SegmentSize,803
Segment,TrigTime,TimeSinceSegment1
#1,20-Nov-2018 10:38:47,0                 
Time,Ampl
0,-103.98
2.44141e+006,30.2814
4.88281e+006,20.8244
7.32422e+006,15.4804
9.76563e+006,18.5755
1.2207e+007,0.110363
1.46484e+007,14.1339
1.70898e+007,11.2228
1.95313e+007,4.5053
2.19727e+007,11.6863
2.44141e+007,-0.463529
2.68555e+007,8.20617
2.92969e+007,7.49493
3.17383e+007,-2.75174
3.41797e+007,8.01487
3.66211e+007,-0.559178
3.90625e+007,4.20854
4.15039e+007,5.48876
4.39453e+007,-10.6415
4.63867e+007,5.49121
4.88281e+007,-0.235444
5.12695e+007,1.06685
5.37109e+007,4.20854
5.61523e+007,-15.0708
5.85938e+007,3.6371
6.10352e+007,0.362974
6.34766e+007,-1.989
6.5918e+007,3.40656
6.83594e+007,-8.46859
7.08008e+007,1.90562
7.32422e+007,1.21645
7.56836e+007,-6.28584
7.8125e+007,2.58987
8.05664e+007,-4.22326
8.30078e+007,-1.10364
8.54492e+007,0.770094
8.78906e+007,-19.4388
9.0332e+007,-0.0931969
9.27734e+007,-5.40783
9.52148e+007,-3.45562
9.76563e+007,-0.024526
1.00098e+008,-13.0671
1.02539e+008,0.117721
1.0498e+008,-2.3765
1.07422e+008,-4.5519
1.09863e+008,0.998179
1.12305e+008,-6.27848
1.14746e+008,-0.546915
1.17188e+008,0.0882904
1.19629e+008,-7.01669
1.2207e+008,0.578796
1.24512e+008,-2.53346
1.26953e+008,-5.425
1.29395e+008,-0.868196
1.31836e+008,-9.7439
1.34277e+008,-4.45134
1.36719e+008,-4.49304
1.3916e+008,-17.2192
1.41602e+008,-4.98109
1.44043e+008,-13.7096
1.46484e+008,-7.28156
1.48926e+008,-6.48204
1.51367e+008,-18.2664
1.53809e+008,-5.35878
1.5625e+008,-10.8966
1.58691e+008,-10.3693
1.61133e+008,-6.8303
1.63574e+008,-19.7183
1.66016e+008,-8.38765
1.68457e+008,-12.6403
1.70898e+008,-11.0462
1.7334e+008,-8.95174
1.75781e+008,-19.2327
1.78223e+008,-7.87508
1.80664e+008,-13.7489
1.83105e+008,-10.7249
1.85547e+008,-7.2178
1.87988e+008,-16.7581
1.9043e+008,-6.49921
1.92871e+008,-8.64517
1.95313e+008,-13.9451
1.97754e+008,-5.79778
2.00195e+008,-13.2805
2.02637e+008,-9.27547
2.05078e+008,-6.94802
2.0752e+008,-23.9048
2.09961e+008,-8.26012
2.12402e+008,-10.7838
2.14844e+008,-15.6005
2.17285e+008,-8.46368
2.19727e+008,-16.0616
2.22168e+008,-11.4067
2.24609e+008,-10.904
2.27051e+008,-19.245
2.29492e+008,-10.4993
2.31934e+008,-15.706
2.34375e+008,-14.3375
2.36816e+008,-12.0051
2.39258e+008,-19.0194
2.41699e+008,-12.9346
2.44141e+008,-15.1272
2.46582e+008,-15.6888
2.49023e+008,-11.1541
2.51465e+008,-13.6778
2.53906e+008,-13.0646
2.56348e+008,-15.809
2.58789e+008,-14.6563
2.6123e+008,-14.2811
2.63672e+008,-17.5209
2.66113e+008,-14.0407
2.68555e+008,-16.9421
2.70996e+008,-15.8679
2.73438e+008,-15.1051
2.75879e+008,-18.6196
2.7832e+008,-13.8004
2.80762e+008,-17.5062
2.83203e+008,-15.6349
2.85645e+008,-14.3081
2.88086e+008,-19.0341
2.90527e+008,-14.1658
2.92969e+008,-16.2529
2.9541e+008,-17.4105
2.97852e+008,-14.1952
3.00293e+008,-19.2254
3.02734e+008,-15.0634
3.05176e+008,-15.9316
3.07617e+008,-18.1438
3.10059e+008,-14.9752
3.125e+008,-17.6043
3.14941e+008,-15.0291
3.17383e+008,-15.7232
3.19824e+008,-20.6969
3.22266e+008,-14.7642
3.24707e+008,-19.039
3.27148e+008,-17.5552
3.2959e+008,-16.4786
3.32031e+008,-20.3952
3.34473e+008,-14.7593
3.36914e+008,-20.0249
3.39355e+008,-17.6067
3.41797e+008,-15.0831
3.44238e+008,-22.1022
3.4668e+008,-15.6986
3.49121e+008,-18.134
3.51563e+008,-18.8256
3.54004e+008,-15.8826
3.56445e+008,-21.6706
3.58887e+008,-16.3486
3.61328e+008,-17.3835
3.6377e+008,-20.1794
3.66211e+008,-15.5736
3.68652e+008,-20.513
3.71094e+008,-17.5184
3.73535e+008,-16.1818
3.75977e+008,-18.3425
3.78418e+008,-15.863
3.80859e+008,-19.8361
3.83301e+008,-17.6803
3.85742e+008,-17.1873
3.88184e+008,-22.2395
3.90625e+008,-16.7925
3.93066e+008,-18.8551
3.95508e+008,-19.4608
3.97949e+008,-16.763
4.00391e+008,-21.1384
4.02832e+008,-17.023
4.05273e+008,-19.0243
4.07715e+008,-19.3407
4.10156e+008,-17.6656
4.12598e+008,-22.4701
4.15039e+008,-17.1334
4.1748e+008,-19.0439
4.19922e+008,-20.2849
4.22363e+008,-17.2364
4.24805e+008,-22.421
4.27246e+008,-17.5454
4.29688e+008,-18.318
4.32129e+008,-21.2193
4.3457e+008,-16.8145
4.37012e+008,-16.4246
4.39453e+008,-18.1561
4.41895e+008,-18.4357
4.44336e+008,-22.6369
4.46777e+008,-17.5994
4.49219e+008,-21.0967
4.5166e+008,-18.8845
4.54102e+008,-18.318
4.56543e+008,-23.1396
4.58984e+008,-17.5135
4.61426e+008,-20.7484
4.63867e+008,-20.4983
4.66309e+008,-16.9077
4.6875e+008,-23.7577
4.71191e+008,-17.7759
4.73633e+008,-19.478
4.76074e+008,-22.291
4.78516e+008,-16.9985
4.80957e+008,-22.8085
4.83398e+008,-18.4455
4.8584e+008,-17.5675
4.88281e+008,-23.7209
4.90723e+008,-16.8759
4.93164e+008,-21.9428
4.95605e+008,-19.608
4.98047e+008,-16.9004
5.00488e+008,-24.0814
5.0293e+008,-17.7195
5.05371e+008,-19.3922
5.07813e+008,-21.982
5.10254e+008,-16.8219
5.12695e+008,-24.5645
5.15137e+008,-18.2787
5.17578e+008,-18.6319
5.2002e+008,-24.952
5.22461e+008,-17.2707
5.24902e+008,-22.9066
5.27344e+008,-19.1199
5.29785e+008,-18.4823
5.32227e+008,-24.0323
5.34668e+008,-17.2805
5.37109e+008,-20.6895
5.39551e+008,-21.9698
5.41992e+008,-18.1929
5.44434e+008,-24.7558
5.46875e+008,-18.6417
5.49316e+008,-19.7355
5.51758e+008,-23.0808
5.54199e+008,-17.9108
5.56641e+008,-23.2451
5.59082e+008,-20.4001
5.61523e+008,-18.2517
5.63965e+008,-25.1433
5.66406e+008,-20.1892
5.68848e+008,-22.3278
5.71289e+008,-21.7638
5.7373e+008,-19.2107
5.76172e+008,-24.8834
5.78613e+008,-19.5957
5.81055e+008,-20.9593
5.83496e+008,-22.8208
5.85938e+008,-20.0789
5.88379e+008,-24.3242
5.9082e+008,-20.952
5.93262e+008,-22.502
5.95703e+008,-23.0906
5.98145e+008,-19.5123
6.00586e+008,-23.38
6.03027e+008,-22.6982
6.05469e+008,-20.6577
6.0791e+008,-23.7184
6.10352e+008,-19.6987
6.12793e+008,-22.9998
6.15234e+008,-21.5798
6.17676e+008,-21.4498
6.20117e+008,-23.7895
6.22559e+008,-21.9673
6.25e+008,-18.779
6.27441e+008,-22.4627
6.29883e+008,-21.0795
6.32324e+008,-22.9802
6.34766e+008,-21.494
6.37207e+008,-22.5804
6.39648e+008,-22.5118
6.4209e+008,-21.0623
6.44531e+008,-22.8085
6.46973e+008,-20.9446
6.49414e+008,-22.2714
6.51855e+008,-23.0906
6.54297e+008,-22.3499
6.56738e+008,-23.5909
6.5918e+008,-21.8864
6.61621e+008,-22.5461
6.64063e+008,-25.0158
6.66504e+008,-20.8465
6.68945e+008,-22.7668
6.71387e+008,-22.6393
6.73828e+008,-21.2242
6.7627e+008,-22.5976
6.78711e+008,-21.6387
6.81152e+008,-24.7411
6.83594e+008,-23.9882
6.86035e+008,-19.89
6.88477e+008,-22.4946
6.90918e+008,-21.6142
6.93359e+008,-23.0857
6.95801e+008,-24.2997
6.98242e+008,-20.5816
7.00684e+008,-25.4695
7.03125e+008,-23.1519
7.05566e+008,-22.5927
7.08008e+008,-24.5057
7.10449e+008,-21.1187
7.12891e+008,-23.7062
7.15332e+008,-21.8668
7.17773e+008,-22.5706
7.20215e+008,-24.1059
7.22656e+008,-21.4523
7.25098e+008,-22.7791
7.27539e+008,-24.4787
7.2998e+008,-22.8282
7.32422e+008,-25.3935
7.34863e+008,-22.4431
7.37305e+008,-23.3015
7.39746e+008,-23.9146
7.42188e+008,-22.4186
7.44629e+008,-24.0986
7.4707e+008,-22.296
7.49512e+008,-20.2947
7.51953e+008,-23.4437
7.54395e+008,-22.0507
7.56836e+008,-23.8533
7.59277e+008,-22.5535
7.61719e+008,-23.6007
7.6416e+008,-24.3953
7.66602e+008,-21.9526
7.69043e+008,-23.8386
7.71484e+008,-23.5737
7.73926e+008,-22.6001
7.76367e+008,-26.0851
7.78809e+008,-23.3702
7.8125e+008,-24.4591
7.83691e+008,-23.9514
7.86133e+008,-22.3695
7.88574e+008,-25.1164
7.91016e+008,-24.8711
7.93457e+008,-23.5492
7.95898e+008,-26.3647
7.9834e+008,-23.071
8.00781e+008,-23.6767
8.03223e+008,-23.3824
8.05664e+008,-22.6908
8.08105e+008,-25.1066
8.10547e+008,-23.4143
8.12988e+008,-23.971
8.1543e+008,-24.6259
8.17871e+008,-22.7987
8.20313e+008,-24.4272
8.22754e+008,-24.9986
8.25195e+008,-25.2463
