LECROYWR6200A,18548,Waveform
Segments,1,SegmentSize,16385
Segment,TrigTime,TimeSinceSegment1
#1,20-Nov-2018 10:27:11,0                 
Time,Ampl
0,-103.98
152587.89,25.2586
305175.78,23.7258
457763.67,20.9201
610351.56,16.2186
762939.45,7.2227
915527.34,1.57207
1068115.2,9.3049
1220703.1,10.7764
1373291,9.61147
1525878.9,6.24659
1678466.8,0.782356
1831054.7,-0.453719
1983642.6,2.78853
2136230.5,4.14968
2288818.4,3.70823
2441406.3,1.886
2593994.1,-0.654826
2746582,-2.13615
2899169.9,-1.55981
3051757.8,-0.573893
3204345.7,-0.132437
3356933.6,-0.434099
3509521.5,-1.69225
3662109.4,-3.74256
3814697.3,-4.98354
3967285.2,-3.82595
4119873,-2.40839
4272460.9,-2.22199
4425048.8,-3.40166
4577636.7,-5.34652
4730224.6,-6.53109
4882812.5,-5.71194
5035400.4,-4.72603
5187988.3,-4.4072
5340576.2,-4.95166
5493164.1,-6.19019
5645752,-7.54153
5798339.8,-7.64454
5950927.7,-6.77879
6103515.6,-6.14849
6256103.5,-6.37658
6408691.4,-7.23742
6561279.3,-8.17183
6713867.2,-8.57895
6866455.1,-8.47595
7019043,-8.10807
7171630.9,-7.79905
7324218.8,-7.80641
7476806.6,-8.66724
7629394.5,-9.76843
7781982.4,-10.1461
7934570.3,-9.46186
8087158.2,-8.71629
8239746.1,-8.79477
8392334,-9.63354
8544921.9,-10.4748
8697509.8,-10.9751
8850097.7,-10.6244
9002685.5,-10.1437
9155273.4,-9.87144
9307861.3,-10.1731
9460449.2,-10.9922
9613037.1,-11.9193
9765625,-11.7574
9918212.9,-11.11
10070801,-10.8353
10223389,-11.0634
10375977,-11.679
10528564,-11.9365
10681152,-12.3755
10833740,-12.427
10986328,-12.1106
11138916,-11.7354
11291504,-11.9389
11444092,-12.4858
11596680,-13.1799
11749268,-13.2118
11901855,-12.7875
12054443,-12.5251
12207031,-12.9469
12359619,-13.099
12512207,-13.3099
12664795,-13.7906
12817383,-13.7881
12969971,-13.4668
13122559,-13.121
13275146,-13.457
13427734,-13.9819
13580322,-14.4331
13732910,-14.3032
13885498,-14.2002
14038086,-14.1143
14190674,-14.2075
14343262,-14.286
14495850,-14.6293
14648438,-15.0414
14801025,-15.1346
14953613,-14.7986
15106201,-14.4282
15258789,-14.649
15411377,-15.1812
15563965,-15.5687
15716553,-15.576
15869141,-15.6079
16021729,-15.4092
16174316,-15.3553
16326904,-15.4142
16479492,-15.8654
16632080,-16.2112
16784668,-16.3363
16937256,-15.7452
17089844,-15.6153
17242432,-15.7305
17395020,-16.2039
17547607,-16.5767
17700195,-16.3854
17852783,-16.5717
18005371,-16.4736
18157959,-16.221
18310547,-16.1229
18463135,-16.8195
18615723,-17.2364
18768311,-17.2168
18920898,-16.6502
19073486,-16.5791
19226074,-16.7336
19378662,-17.1039
19531250,-17.2879
19683838,-17.6043
19836426,-17.5699
19989014,-17.2511
20141602,-16.8759
20294189,-17.2315
20446777,-17.5724
20599365,-18.1487
20751953,-17.9599
20904541,-17.722
21057129,-17.5013
21209717,-17.7759
21362305,-17.9182
21514893,-18.0727
21667480,-18.3621
21820068,-18.318
21972656,-18.0433
22125244,-17.8495
22277832,-17.8765
22430420,-18.8256
22583008,-19.0096
22735596,-18.6368
22888184,-18.2321
23040771,-18.4161
23193359,-18.3449
23345947,-18.8305
23498535,-19.0611
23651123,-19.0022
23803711,-18.985
23956299,-18.7349
24108887,-18.5755
24261475,-18.6466
24414063,-19.1911
24566650,-19.5835
24719238,-19.2352
24871826,-18.9605
25024414,-19.2916
25177002,-19.3014
25329590,-19.2327
25482178,-19.5344
25634766,-19.6202
25787354,-19.7551
25939941,-19.5491
26092529,-18.9458
26245117,-19.5565
26397705,-19.9808
26550293,-19.7797
26702881,-19.8753
26855469,-20.0519
27008057,-19.9121
27160645,-19.7551
27313232,-19.7649
27465820,-19.9366
27618408,-20.3683
27770996,-20.2383
27923584,-19.9661
28076172,-19.7306
28228760,-19.8876
28381348,-20.4688
28533936,-20.4786
28686523,-20.8146
28839111,-20.5399
28991699,-20.4124
29144287,-19.9636
29296875,-20.3266
29449463,-20.8465
29602051,-21.0206
29754639,-20.7729
29907227,-20.4639
30059814,-20.4443
30212402,-20.6846
30364990,-20.6699
30517578,-20.7337
30670166,-21.1751
30822754,-21.2463
30975342,-20.8808
31127930,-20.5964
31280518,-19.8214
31433105,-21.3419
31585693,-21.494
31738281,-21.2512
31890869,-20.6773
32043457,-21.055
32196045,-21.2904
32348633,-21.4081
32501221,-21.1482
32653809,-21.5651
32806396,-21.7956
32958984,-21.3076
33111572,-20.9176
33264160,-21.3395
33416748,-21.646
33569336,-21.6436
33721924,-21.7024
33874512,-21.3517
34027100,-21.7392
34179688,-21.6632
34332275,-21.5798
34484863,-21.6558
34637451,-22.2518
34790039,-21.5357
34942627,-21.7858
35095215,-21.4474
35247803,-21.4793
