LECROYWR6200A,18548,Waveform
Segments,1,SegmentSize,252
Segment,TrigTime,TimeSinceSegment1
#1,19-Nov-2018 16:08:53,0                 
Time,Ampl
-1.98639e-009,0.0737127
-1.78639e-009,0.101852
-1.58639e-009,0.124295
-1.38639e-009,0.132409
-1.18639e-009,0.171597
-9.86386e-010,0.264647
-7.86386e-010,0.408107
-5.86386e-010,0.610435
-3.86386e-010,0.860066
-1.86386e-010,1.1116
1.36137e-011,1.32653
2.13614e-010,1.49174
4.13614e-010,1.6093
6.13614e-010,1.68923
8.13614e-010,1.76657
1.01361e-009,1.90969
1.21361e-009,2.12427
1.41361e-009,2.30692
1.61361e-009,2.41085
1.81361e-009,2.50701
2.01361e-009,2.63355
2.21361e-009,2.74921
2.41361e-009,2.82793
2.61361e-009,2.90424
2.81361e-009,2.9928
3.01361e-009,3.05823
3.21361e-009,3.08896
3.41361e-009,3.10605
3.61361e-009,3.14627
3.81361e-009,3.22051
4.01361e-009,3.25382
4.21361e-009,3.21222
4.41361e-009,3.18805
4.61361e-009,3.24502
4.81361e-009,3.3158
5.01361e-009,3.32426
5.21361e-009,3.2868
5.41361e-009,3.25124
5.61361e-009,3.26384
5.81361e-009,3.32357
6.01361e-009,3.35482
6.21361e-009,3.33324
6.41361e-009,3.31632
6.61361e-009,3.33583
6.81361e-009,3.37519
7.01361e-009,3.41386
7.21361e-009,3.45166
7.41361e-009,3.48464
7.61361e-009,3.47255
7.81361e-009,3.44131
8.01361e-009,3.47411
8.21361e-009,3.53453
8.41361e-009,3.54247
8.61361e-009,3.51882
8.81361e-009,3.50967
9.01361e-009,3.51002
9.21361e-009,3.49085
9.41361e-009,3.45115
9.61361e-009,3.43889
9.81361e-009,3.49223
1.00136e-008,3.56837
1.02136e-008,3.59115
1.04136e-008,3.5511
1.06136e-008,3.50967
1.08136e-008,3.49966
1.10136e-008,3.50466
1.12136e-008,3.50863
1.14136e-008,3.50794
1.16136e-008,3.52814
1.18136e-008,3.56837
1.20136e-008,3.58563
1.22136e-008,3.58856
1.24136e-008,3.58995
1.26136e-008,3.57907
1.28136e-008,3.57493
1.30136e-008,3.56664
1.32136e-008,3.54299
1.34136e-008,3.55421
1.36136e-008,3.5991
1.38136e-008,3.63155
